Date,Commodity,FX,ILS,UCITS,Relative_Value,Multi_Strategy,Long_Short_Equity,Event_Driven,Distressed_Debt,CTA,Arbitrage,FOF,Commodityc%,FXc,ILSc,UCITSc,Relative_Valuec,Multi_Strategyc,Long_Short_Equityc,Event_Drivenc,Distressed_Debtc,CTAc,Arbitragec,FOFc
3/31/2001,0.610461026,5.061325301,6.01,6.01,-0.159688323,0.575645117,-1.12432313,-0.352514499,-0.549749789,4.885095817,0.377280128,0.072653278,1.278090127,1.268525335,2.39995179,2.39995179,1.220536899,1.205511116,1.211416031,1.167575971,1.165448067,1.297582324,1.215715245,1.120260604
4/30/2001,-1.574945859,-1.214536296,6.01,6.01,1.791217192,0.664316615,2.769975078,1.794290019,1.129090655,-2.956938157,1.314365044,0.547751832,1.257960899,1.253118634,2.544188892,2.544188892,1.242399366,1.213519526,1.244971953,1.18852567,1.178607032,1.259213617,1.231694182,1.126396852
5/31/2001,-1.518729904,1.018212336,6.01,6.01,1.60661618,1.486702994,1.97693011,2.231149154,2.334631217,1.411703859,1.190997659,1.020274537,1.238855871,1.265878043,2.697094644,2.697094644,1.262359956,1.231560957,1.269584178,1.21504345,1.20612316,1.276989984,1.246363631,1.137889192
6/30/2001,-1.573782354,-0.184967389,6.01,6.01,0.953255793,0.438221019,0.778924592,2.464719769,4.088160302,-0.37686242,0.093481982,0.163279435,1.219358976,1.263536581,2.859190033,2.859190033,1.274393475,1.236957916,1.279473282,1.244990867,1.255431408,1.272177489,1.247528756,1.139747131
7/31/2001,-0.19149753,-0.245275087,6.01,6.01,0.354994788,-0.06288243,-0.832845979,0.556881672,0.597843826,-0.245325804,0.703271165,-0.159560812,1.217023933,1.260437441,3.031027354,3.031027354,1.278917505,1.236180087,1.26881724,1.251923993,1.262936927,1.269056509,1.256302266,1.137928542
8/31/2001,-2.593735186,1.914000801,6.01,6.01,1.750756476,1.133942478,-0.34535987,0.893894287,0.960627133,2.099363848,0.997769391,0.615784409,1.185457555,1.284562224,3.213192098,3.213192098,1.301308236,1.250197658,1.264435254,1.26311487,1.275069042,1.295698623,1.268837265,1.144935728
9/30/2001,3.580433096,-0.508076049,6.01,6.01,-1.382949988,-0.66292371,-2.999409898,-2.677480314,-1.019190074,2.465665424,-0.638821001,-0.887219721,1.22790207,1.278035671,3.406304943,3.406304943,1.283311794,1.241909802,1.226509658,1.229295218,1.262073665,1.327646216,1.260731667,1.134777633
10/31/2001,2.513060302,0.506077261,6.01,6.01,0.348783758,2.237881673,2.090690996,1.966308018,1.249244941,3.579225024,0.92058643,0.833562843,1.25875999,1.284503518,3.61102387,3.61102387,1.287787777,1.269702273,1.252152185,1.253466948,1.277840056,1.375165661,1.272337791,1.144236717
11/30/2001,-1.517675181,-0.482120803,6.01,6.01,2.281756217,1.311746913,2.628651612,1.718734291,1.388040124,-4.373142609,0.699855732,0.411708273,1.239656102,1.27831066,3.828046404,3.828046404,1.317171955,1.286357554,1.285066904,1.275010714,1.295576989,1.315027706,1.28124232,1.148947634
12/31/2001,-1.502967305,2.351231017,6.01,6.01,0.789841727,1.443102217,2.218908897,1.739509737,0.095147508,1.291225756,0.60147246,1.022416304,1.221024476,1.308366696,4.058111993,4.058111993,1.327575529,1.304921008,1.313581367,1.29718965,1.296809698,1.332007682,1.28894864,1.160694662
1/31/2002,-0.862334916,0.096504113,6.01,6.01,1.213762601,0.735842213,0.808996856,1.451853548,1.841890004,-0.656054911,1.174822471,0.53599198,1.210495155,1.309629324,4.302004524,4.302004524,1.343689144,1.314523168,1.324208199,1.316022944,1.320695506,1.32326898,1.304091498,1.166915893
2/28/2002,1.39394241,-0.20587514,6.01,6.01,-0.120130913,0.453610206,-0.083351376,-0.343974485,-0.315611284,-1.544123049,0.384852735,-0.080760555,1.227368761,1.306933123,4.560554996,4.560554996,1.342074958,1.320485979,1.323104454,1.311496161,1.316527242,1.302836079,1.30911033,1.165973485
3/31/2002,3.092766852,0.411508322,6.01,6.01,2.458615018,1.58973331,2.472073162,2.22219014,0.960924964,1.028829247,0.622472811,0.748482291,1.265328415,1.312311262,4.834644351,4.834644351,1.375071414,1.341478185,1.355812564,1.340640099,1.329178081,1.316240038,1.317259186,1.17470059
4/30/2002,1.470072907,1.075263714,6.01,6.01,0.809346598,0.860548808,0.463754526,0.807958323,1.592412762,-0.486978187,0.683626098,0.613398772,1.283929665,1.326422068,5.125206477,5.125206477,1.386200508,1.353022259,1.362100206,1.351471912,1.350344083,1.309830236,1.326264313,1.181906189
5/31/2002,6.437526449,5.839945709,6.01,6.01,0.086212883,1.097495835,0.326554922,0.403166086,1.392264885,3.661835875,0.540273691,0.574177504,1.366582977,1.403884397,5.433231386,5.433231386,1.387395592,1.367871622,1.366548211,1.356920589,1.369144449,1.357794069,1.333429771,1.188692428
