caldt,crsp_fundno,mtna,mret,mnav
19920731,031417,1914.053,0.003000,1.0000000
19920831,031417,1933.695,0.002900,1.0000000
19920930,031417,1936.136,0.002700,1.0000000
19921030,031417,2012.047,0.002600,1.0000000
19921130,031417,1986.477,0.002500,1.0000000
19921231,031417,1928.943,0.002600,1.0000000
19930129,031417,1953.219,0.002600,1.0000000
19930226,031417,1917.062,0.002300,1.0000000
19930331,031417,1990.727,0.002500,1.0000000
19930430,031417,1919.352,0.002400,1.0000000
19930528,031417,1901.345,0.002400,1.0000000
19930630,031417,1919.348,0.002400,1.0000000
19930730,031417,1902.430,0.002500,1.0000000
19930831,031417,1871.320,0.002500,1.0000000
19930930,031417,1892.867,0.002400,1.0000000
19931029,031417,1874.543,0.002400,1.0000000
19931130,031417,1907.062,0.002400,1.0000000
19931231,031417,1892.260,0.002500,1.0000000
19940131,031417,1935.907,0.002500,1.0000000
19940228,031417,1949.098,0.002300,1.0000000
19940331,031417,2006.664,0.002600,1.0000000
19940429,031417,2058.413,0.002700,1.0000000
19940531,031417,2049.161,0.003000,1.0000000
19940630,031417,2031.085,0.003100,1.0000000
19940729,031417,2069.130,0.003500,1.0000000
19940831,031417,2088.883,0.003600,1.0000000
19940930,031417,2098.956,0.003700,1.0000000
19941031,031417,2145.344,0.003900,1.0000000
19941130,031417,2196.424,0.004000,1.0000000
19941230,031417,2191.875,0.004600,1.0000000
19950131,031417,2226.578,0.004700,1.0000000
19950228,031417,2258.659,0.004400,1.0000000
19950331,031417,2336.045,0.005000,1.0000000
19950428,031417,2340.583,0.004800,1.0000000
19950531,031417,2420.303,0.005000,1.0000000
19950630,031417,2463.585,0.004700,1.0000000
19950731,031417,2494.856,0.004800,1.0000000
19950831,031417,2545.251,0.004700,1.0000000
19950929,031417,2562.767,0.004500,1.0000000
19951031,031417,2599.271,0.004600,1.0000000
19951130,031417,2636.605,0.004500,1.0000000
19951229,031417,2619.141,0.004600,1.0000000
19960131,031417,2671.990,0.004500,1.0000000
19960229,031417,2702.349,0.004100,1.0000000
19960329,031417,2746.144,0.004200,1.0000000
19960430,031417,2800.200,0.004100,1.0000000
19960531,031417,2815.066,0.004300,1.0000000
19960628,031417,2822.207,0.004200,1.0000000
19960731,031417,2895.331,0.004300,1.0000000
19960830,031417,2932.463,0.004300,1.0000000
19960930,031417,2960.173,0.004200,1.0000000
19961031,031417,3053.760,0.004400,1.0000000
19961129,031417,3100.481,0.004200,1.0000000
19961231,031417,3131.459,0.004300,1.0000000
19970131,031417,3156.223,0.004400,1.0000000
19970228,031417,3196.226,0.003900,1.0000000
19970331,031417,3257.157,0.004400,1.0000000
19970430,031417,3313.558,0.004300,1.0000000
19970530,031417,3319.653,0.004500,1.0000000
19970630,031417,3347.424,0.004300,1.0000000
19970731,031417,3375.742,0.004500,1.0000000
19970829,031417,3420.345,0.004500,1.0000000
19970930,031417,3437.170,0.004300,1.0000000
19971031,031417,3463.746,0.004500,1.0000000
19971128,031417,3495.294,0.004400,1.0000000
19971231,031417,3480.941,0.004600,1.0000000
19980130,031417,3554.492,0.004500,1.0000000
19980227,031417,3599.911,0.004100,1.0000000
19980331,031417,3691.043,0.004500,1.0000000
19980430,031417,3679.621,0.004300,1.0000000
19980529,031417,3730.777,0.004400,1.0000000
19980630,031417,3756.670,0.004300,1.0000000
19980731,031417,3816.913,0.004400,1.0000000
19980831,031417,3944.302,0.004500,1.0000000
19980930,031417,4041.700,0.004292,1.0000000
19981030,031417,4210.900,0.004318,1.0000000
19981130,031417,4238.600,0.004065,1.0000000
19981231,031417,4468.200,0.004134,1.0000000
19990129,031417,4453.300,0.004088,1.0000000
19990226,031417,4534.600,0.003626,1.0000000
19990331,031417,4674.900,0.003935,1.0000000
19990430,031417,4692.700,0.003771,1.0000000
19990528,031417,4743.300,0.003887,1.0000000
19990630,031417,4829.900,0.003780,1.0000000
19990730,031417,4884.200,0.004006,1.0000000
19990831,031417,4975.300,0.004091,1.0000000
19990930,031417,5051.700,0.004068,1.0000000
19991029,031417,5218.300,0.004271,1.0000000
19991130,031417,5243.200,0.004223,1.0000000
19991231,031417,5312.200,0.004533,1.0000000
20000131,031417,5341.500,0.004603,1.0000000
20000229,031417,5356.200,0.004371,1.0000000
